epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,1338.29,0.67606,0.44566,1.13183,0.99501,0.99654,0.99308,0.90758,0.45385,0.2967,0.93263,0.00113339,0.00113339,0.00113339
99,1350.56,0.6472,0.42335,1.12077,0.99426,0.99654,0.9937,0.89651,0.47476,0.29706,0.9494,0.00112789,0.00112789,0.00112789
100,1363.6,0.64901,0.4347,1.11684,0.99516,0.99654,0.99398,0.89554,0.46196,0.29336,0.94328,0.00112239,0.00112239,0.00112239
101,1376.01,0.65545,0.42279,1.12181,0.99497,0.99654,0.99156,0.89648,0.47156,0.29749,0.94117,0.00111689,0.00111689,0.00111689
102,1388.86,0.64888,0.41526,1.10906,0.99447,0.99654,0.9907,0.88634,0.48343,0.29125,0.93515,0.00111139,0.00111139,0.00111139
103,1401.93,0.67247,0.43966,1.13015,0.99454,0.99654,0.99083,0.88824,0.49656,0.28771,0.95617,0.00110589,0.00110589,0.00110589
104,1414.31,0.66298,0.43612,1.1352,0.99513,0.99654,0.99317,0.8963,0.47433,0.28979,0.94152,0.00110039,0.00110039,0.00110039
105,1427.1,0.63949,0.42798,1.10007,0.9949,0.99622,0.99214,0.88282,0.48408,0.29316,0.94538,0.00109489,0.00109489,0.00109489
106,1439.76,0.63688,0.42429,1.09559,0.99237,0.99638,0.99275,0.89118,0.46304,0.30281,0.9302,0.00108938,0.00108938,0.00108938
107,1452.7,0.65411,0.4203,1.11533,0.99402,0.99654,0.99384,0.89478,0.46368,0.3039,0.93482,0.00108388,0.00108388,0.00108388
108,1465.77,0.62144,0.40539,1.0872,0.99512,0.99654,0.99261,0.90821,0.44051,0.2792,0.91955,0.00107838,0.00107838,0.00107838
109,1478.98,0.64395,0.41642,1.09721,0.9939,0.99481,0.99391,0.89788,0.46009,0.2856,0.93461,0.00107288,0.00107288,0.00107288
110,1491.53,0.61136,0.40237,1.09874,0.99481,0.99654,0.99261,0.90536,0.43265,0.28261,0.91562,0.00106738,0.00106738,0.00106738
111,1504.77,0.64143,0.43005,1.11549,0.99472,0.99654,0.99318,0.9107,0.45515,0.29733,0.92548,0.00106188,0.00106188,0.00106188
112,1518.74,0.60024,0.40382,1.07326,0.99449,0.99654,0.99301,0.9011,0.44585,0.29671,0.93257,0.00105638,0.00105638,0.00105638
